"year","zone","group","gender","stage","measure","value"
"2010-2011","S01001790","All","Male","S4","Count",3
"2010-2011","S01001790","All","Female","S4","Ratio","87.5"
"2010-2011","S01001790","All","Male","S4","Ratio",100
"2010-2011","S01001790","Additional Support Needs","All","S4","Ratio",0
"2010-2011","S01001790","All","All","S4","Ratio","90.9"
"2010-2011","S01001790","All","Female","S4","Count",7
"2010-2011","S01001790","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001790","All","All","S4","Count",10
"2008-2009","S01001790","All","Male","S4","Count",0
"2008-2009","S01001790","All","Female","S4","Count",2
"2008-2009","S01001790","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001790","All","All","S4","Count",2
"2008-2009","S01001790","All","All","S4","Ratio","66.7"
"2008-2009","S01001790","Additional Support Needs","All","S4","Ratio",0
"2008-2009","S01001790","All","Male","S4","Ratio",0
"2008-2009","S01001790","All","Female","S4","Ratio","66.7"
"2009-2010","S01001790","Additional Support Needs","All","S4","Count",0
"2009-2010","S01001790","All","Female","S4","Ratio",60
"2009-2010","S01001790","All","Male","S4","Ratio",100
"2009-2010","S01001790","All","All","S4","Count",10
"2009-2010","S01001790","All","Male","S4","Count",7
"2009-2010","S01001790","All","Female","S4","Count",3
"2009-2010","S01001790","Additional Support Needs","All","S4","Ratio",0
"2009-2010","S01001790","All","All","S4","Ratio","83.3"
"2011-2012","S01001790","All","Male","S4","Ratio",75
"2011-2012","S01001790","All","Female","S4","Count",5
"2011-2012","S01001790","All","All","S4","Ratio","88.9"
"2011-2012","S01001790","Additional Support Needs","All","S4","Ratio",0
"2011-2012","S01001790","All","Female","S4","Ratio",100
"2011-2012","S01001790","All","All","S4","Count",8
"2011-2012","S01001790","All","Male","S4","Count",3
"2011-2012","S01001790","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001790","All","Female","S4","Ratio",100
"2012-2013","S01001790","All","Female","S4","Count",1
"2012-2013","S01001790","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001790","All","All","S4","Count",5
"2012-2013","S01001790","All","All","S4","Ratio",100
"2012-2013","S01001790","All","Male","S4","Ratio",100
"2012-2013","S01001790","All","Male","S4","Count",4
"2002-2003","S01001790","All","All","S4","Count",9
"2002-2003","S01001790","All","All","S4","Ratio",100
"2003-2004","S01001790","All","All","S4","Ratio","91.7"
"2003-2004","S01001790","All","All","S4","Count",11
"2004-2005","S01001790","All","All","S4","Ratio",100
"2004-2005","S01001790","All","All","S4","Count",6
"2005-2006","S01001790","All","All","S4","Count",8
"2005-2006","S01001790","All","All","S4","Ratio","88.9"
"2006-2007","S01001790","All","All","S4","Ratio",100
"2006-2007","S01001790","All","All","S4","Count",10
"2007-2008","S01001790","All","All","S4","Ratio",100
"2007-2008","S01001790","All","All","S4","Count",5
"2009-2010","S01001791","Additional Support Needs","All","S4","Count",0
"2008-2009","S01001791","Additional Support Needs","All","S4","Count",0
"2012-2013","S01001791","Additional Support Needs","All","S4","Count",0
"2011-2012","S01001791","Additional Support Needs","All","S4","Count",0
"2010-2011","S01001791","All","All","S4","Count",6
"2010-2011","S01001791","All","All","S4","Ratio",100
